Spanish,English
abandonar,abandon
abanicar,fan
abaratar,cheapen
abarcar,encompass
"abarrotar, desorden",clutter
gustar,like
Qué ibas a hacer?,What were you going to do?
Work from home,Work from home
Una frontera es un concepto decidido por los afortunados.,A border is a concept decided by the lucky ones.
Algo estúpido,Something stupid
La suerte es el residuo de la preparación.,Luck is the residue of preparation.
Entra,Get in (Command). He/she/Ust enters
"Fue una conversación constructiva.
","It was a constructive conversation.
"
"No quiero llegar tarde .
","I do not want to be late .
"
"no lo hará
","it will not
"
